feature,Common-bean_G13094_cooked_pos_472025_011,Common-bean_G13094_cooked_pos_472025_012,Common-bean_G13094_cooked_pos_472025_013,Common-bean_G17162A_cooked_pos_472025_014,Common-bean_G17162A_cooked_pos_472025_015,Common-bean_G17162A_cooked_pos_472025_016,Common-bean_G4449_cooked_pos_472025_023,Common-bean_G4449_cooked_pos_472025_024,Common-bean_G4449_cooked_pos_472025_025,Lima-bean_G26506_cooked_pos_472025_017,Lima-bean_G26506_cooked_pos_472025_018,Lima-bean_G26506_cooked_pos_472025_019,Tepary-bean_G40084_cooked_pos_472025_020,Tepary-bean_G40084_cooked_pos_472025_021,Tepary-bean_G40084_cooked_pos_472025_022,Common-bean_G4449_019,Common-bean_G4449_020,Common-bean_G4449_021,Common-bean_G13094_022,Common-bean_G13094_023,Common-bean_G13094_024,Lima-bean_G26506_051,Lima-bean_G26506_052,Lima-bean_G26506_053,Common-bean_G17162A_038,Common-bean_G17162A_039,Common-bean_G17162A_040,Tepary-bean_G40084_085,Tepary-bean_G40084_086,Tepary-bean_G40084_087
Group,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw
Xanthosine_neg,174740.3427,177979.4228,188828.675,82608.49074,77854.12637,78075.04591,30067.6209,27932.98712,27356.4846,122454.2559,121465.8045,122383.3245,259229.0952,271332.608,265172.1811,26074.65186,11560.82222,40136.63931,0,0,446796.6671,0,0,0,140346.6086,136465.6477,135415.9896,186916.0032,186850.5025,187061.3066
Xanthorhamnin_neg,0,0,0,0,0,0,0,0,0,20119.21559,19952.96217,19340.28929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthine_neg,48669.7118,49734.85078,47827.46097,18467.93521,10427.41713,12051.33865,34817.93884,36864.62126,34112.55623,53950.57168,54396.47345,56199.22104,2066.363103,2596.555395,1995.177117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitexin_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.2283901
Valine_pos,43528.4087,44563.0423,44558.38335,48880.3985,47183.24387,49417.71834,67092.82871,67019.40913,67649.34075,37311.02433,35649.22459,36841.65049,60485.42905,63397.89705,62758.86183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursolic acid_pos,247820.4924,245836.1318,250048.789,22489.81418,21264.05698,21008.29473,18842.63893,18977.66413,18789.49267,559430.848,563580.9068,556302.6313,1051.541961,467.0615744,1023.405237,31812.13693,32282.25929,33512.17634,877758.22,822531.6569,826292.4864,619924.0247,629841.8391,619568.6114,4207.22129,1981.878812,1060.865093,0,0,245.0065959
Urocanic acid_pos,323469.6664,347210.0774,348249.9786,659157.4226,646471.639,486577.1031,438152.2807,436542.6634,436075.4434,549434.0667,542338.2601,549256.8033,296707.6535,215774.1349,239266.2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URIDINE-5-MONOPHOSPHATE_neg,70460.42357,71143.79837,73060.02203,75276.79236,72431.82644,74316.37325,63456.96505,63185.32059,61367.61562,17411.72195,20055.75863,18568.23583,11542.01842,21213.5722,5641.197666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uridine_neg,308345.9652,316579.8131,322943.8751,283177.4302,271164.7108,275035.2417,20672.78844,12771.08293,19168.45136,54348.30002,52768.76818,52767.76059,549852.5526,579531.575,576431.1422,253394.3379,454721.873,381871.1179,0,0,281969.6393,0,0,0,324723.6017,318410.9215,323259.4933,309577.0395,313490.9032,308846.1357
