Feature,COANC-B01-T0-1,COANC-B01-T0-2,COANC-B01-T1-1,COANC-B01-T1-2,COANC-B01-T2-1,COANC-B01-T2-2,COANC-B01-T3-1,COANC-B01-T3-2,COANC-B01-T4-1,COANC-B01-T4-2,COANC-B01-T5-1,COANC-B01-T5-2,COANC-B01-T6-1,COANC-B01-T6-2,COANC-B01-T7-1,COANC-B01-T7-2,COANC-B02-T0-1,COANC-B02-T0-2,COANC-B02-T1-1,COANC-B02-T1-2,COANC-B02-T2-1,COANC-B02-T2-2,COANC-B02-T3-1,COANC-B02-T3-2,COANC-B02-T4-1,COANC-B02-T4-2,COANC-B02-T5-1,COANC-B02-T5-2,COANC-B02-T6-1,COANC-B02-T6-2,COANC-B02-T7-1,COANC-B02-T7-2,COANC-B03-T0-1,COANC-B03-T0-2,COANC-B03-T1-1,COANC-B03-T1-2,COANC-B03-T2-1,COANC-B03-T2-2,COANC-B03-T3-1,COANC-B03-T3-2,COANC-B03-T4-1,COANC-B03-T4-2,COANC-B03-T5-1,COANC-B03-T5-2,COANC-B03-T6-1,COANC-B03-T6-2,COANC-B03-T7-1,COANC-B03-T7-2,COANC-B04-T0-1,COANC-B04-T0-2,COANC-B04-T1-1,COANC-B04-T1-2,COANC-B04-T2-1,COANC-B04-T2-2,COANC-B04-T3-1,COANC-B04-T3-2,COANC-B04-T4-1,COANC-B04-T4-2,COANC-B04-T5-1,COANC-B04-T5-2,COANC-B04-T6-1,COANC-B04-T6-2,COANC-B04-T7-1,COANC-B04-T7-2
Group,T0,T0,T1,T1,T2,T2,T3,T3,T4,T4,T5,T5,T6,T6,T7,T7,T0,T0,T1,T1,T2,T2,T3,T3,T4,T4,T5,T5,T6,T6,T7,T7,T0,T0,T1,T1,T2,T2,T3,T3,T4,T4,T5,T5,T6,T6,T7,T7,T0,T0,T1,T1,T2,T2,T3,T3,T4,T4,T5,T5,T6,T6,T7,T7
C10:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12:0,13.59142303,13.44168703,18.5421004,15.54369862,16.89458302,16.76315374,14.05510077,13.41430318,14.44059999,10.47674431,12.49869418,13.69914131,12.48592481,11.32681719,15.40847516,10.57209293,11.23742128,10.08493584,15.41503545,23.75387036,14.61432637,16.15838864,10.08930327,10.91017634,12.4613698,12.37119032,7.868623144,8.337854107,10.16250412,8.769263064,14.46761489,14.29586642,14.25554333,10.55671128,13.03302298,16.19935289,21.54490376,14.08603491,10.29594588,12.07416998,16.94242364,11.1221775,14.24370942,14.53241585,14.74161168,10.72772512,16.70380196,14.7922714,13.15921707,15.12050796,12.66936443,19.15555488,12.47336234,15.86682486,15.48633064,19.72241063,12.91285194,16.62941384,13.85766169,16.82883664,12.84881837,14.32874827,13.65144776,12.67206684
C13:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14:0,620.8901464,558.3190428,650.7474317,590.9323781,689.5582138,725.3691624,576.9167992,580.9870028,579.6242751,492.6732181,513.2451256,600.3294497,636.8750504,572.38371,589.2025008,481.390711,471.4393689,512.9943241,677.3214662,583.6933967,518.0870416,629.0537226,452.6015964,467.1425793,531.6440453,499.9480783,363.8177397,479.0367766,421.6819726,362.0118712,574.0916971,546.3811603,563.5217372,410.8612674,504.7929086,625.7875653,606.228727,500.4575705,474.6914632,421.9854978,665.5744703,548.495325,682.3089299,551.0070237,592.4788012,405.3743451,517.5201169,490.3438738,565.3907462,532.2055406,335.7076074,588.7379784,550.6317614,547.3508552,531.5197426,559.5006736,530.3147272,630.4404598,610.0977431,579.5640711,528.9940994,565.5520777,617.3228077,495.3992915
C14:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15:0,127.5316726,129.3953121,157.1977683,138.6319951,135.4690562,163.8306213,141.9803203,143.302889,131.8264049,124.5179992,138.2555587,122.7913717,135.1115052,131.0481184,119.703727,123.083095,121.8615319,123.0141538,163.5335623,156.0105079,115.3290196,154.5746523,129.4136436,130.045606,151.8866514,121.6914084,103.097628,90.88699482,121.9690949,119.4062199,151.3557869,148.1997261,143.1051578,142.7343568,143.0364803,159.0163273,158.4922086,142.2050173,113.2859068,98.74349561,156.2770342,136.3116021,166.7079892,129.2844767,135.4948147,119.4180564,143.8504852,147.9260468,157.7377764,154.5849646,129.3574319,150.9832647,144.916766,146.2651475,154.6018105,141.9874251,137.2511592,153.3488321,131.2111619,122.0452372,141.9064011,136.9548216,157.6292425,122.9144299
C15:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C16:0,86477.63371,87300.90248,100720.0252,97026.90803,93205.20361,104278.2107,90992.68855,88107.45499,85101.60138,84878.72919,81271.36293,78823.92146,100999.6391,92954.67437,80630.12058,83565.66917,89386.60815,84729.96948,95943.26378,92027.7614,80482.74511,101011.5434,81494.57177,77757.15204,98857.67519,79626.53359,73279.43168,70838.41026,78682.92549,74356.58374,95699.55161,84821.92522,81035.35563,84907.67221,85842.02041,90277.5366,89301.60603,79377.32704,74026.61802,72475.35693,95434.12317,82399.79299,97341.33659,85551.07953,81472.86239,80558.81588,82944.29707,89791.46941,105034.5513,92962.74328,88241.50302,95205.57037,90661.94528,95202.84124,97172.72011,83056.90518,80853.41861,91568.15641,87246.65622,81243.94229,88176.04355,83114.38057,105133.5347,78495.22325
