Feature,Cternatea_20692_DDA_neg_5142025_053,Cternatea_20692_DDA_neg_5142025_054,Cternatea_20692_DDA_neg_5142025_055,Cternatea_9336_DDA_neg_5142025_056,Cternatea_9336_DDA_neg_5142025_057,Cternatea_9336_DDA_neg_5142025_058,Instrument_blank_DDA_neg_5142025_060,Cternatea_QC_DDA_neg_5142025_048,Cternatea_QC_DDA_neg_5142025_049,Cternatea_QC_DDA_neg_5142025_050,Cternatea_QC_DDA_neg_5142025_051,Cternatea_QC_DDA_neg_5142025_052,Cternatea_QC_DDA_neg_5142025_059,Extraction_blank_DDA_neg_5142025_047,Instrument_blank_DDA_neg_5142025_046
Group,g.20692,g.20692,g.20692,g.9336,g.9336,g.9336,Blank,QC,QC,QC,QC,QC,QC,Blank,Blank
75.00830@0.686,108344,108264,113849,129697,142284,140111,2028,127259,123264,110246,131219,124354,131905,934,3914
85.02870@1.195,31168,28172,31662,28692,31719,27149,0,27776,31475,30955,21092,30225,37327,0,118
85.02900@0.624,21357,21363,22346,25797,27332,21597,131,17841,18411,24044,19594,19757,19149,0,0
87.00830@2.571,24504,24013,24306,23592,23733,21430,1518,24195,23184,22576,25273,27810,24463,986,1695
87.00840@0.581,15105,15431,14665,19919,21226,18570,2962,16691,15832,17795,15848,17156,19763,1044,3661
87.00840@0.815,22355,19511,26143,38187,25113,14318,2225,60569,22600,21534,30849,16049,75283,1731,1452
88.03980@2.456,6300,5938,6007,4852,4707,4769,0,5117,5376,5012,5442,5592,4884,0,0
88.03990@0.570,8017,8430,7894,8456,9225,8740,0,8103,7903,8524,8046,7790,7961,0,0
89.02390@4.261,26942,26371,13390,20583,17963,13922,4476,20981,27825,31366,22219,44956,26545,4191,6049
89.02390@0.769,609941,594169,494909,626281,663219,656225,3586,604610,588729,666581,643528,615214,691296,36778,16413
89.02390@4.426,23937,22868,21620,27601,29152,11890,2936,22764,26849,28356,28485,28416,27752,4422,4301
89.02390@1.061,253318,71938,356788,277803,77055,238950,3728,262469,117059,70377,319499,85241,413845,3466,12602
89.02400@0.561,73825,85966,77064,86351,88399,86374,6259,87885,81877,84594,86096,80423,90694,5982,11624
