Feature,Cternatea_20692_DDA_pos_5142025_038,Cternatea_20692_DDA_pos_5142025_039,Cternatea_20692_DDA_pos_5142025_040,Cternatea_9336_DDA_pos_5142025_041,Cternatea_9336_DDA_pos_5142025_042,Cternatea_9336_DDA_pos_5142025_043,Cternatea_QC_DDA_pos_5142025_035,Cternatea_QC_DDA_pos_5142025_036,Cternatea_QC_DDA_pos_5142025_037,Extraction_blank_DDA_pos_5142025_032,Instrument_blank_DDA_pos_5142025_031,Instrument_blank_DDA_pos_5142025_045
Group,g.20692,g.20692,g.20692,g.9336,g.9336,g.9336,QC,QC,QC,Blank,Blank,Blank
81.03320@0.678,14008,14889,15586,13707,18226,17242,17747,16271,17181,0,0,0
85.02800@0.692,67942,80011,83411,83408,108534,105759,90425,78155,97316,119,84,0
85.02800@0.854,112876,95855,74612,51052,72729,59285,111523,83336,104929,367,123,118
86.09610@0.743,335204,367746,380281,276863,306494,307685,341571,316418,357107,1195,0,0
86.99220@0.455,28118,34391,36623,27700,31585,30052,30306,30757,37487,14986,1578,720
87.04370@5.680,1260,1734,2617,282,544,725,1820,2302,2699,0,420,379
88.98980@0.455,4259,5192,4803,4057,4568,4475,4257,4256,4924,1516,268,0
89.10670@0.459,3252,3885,4108,2920,2979,2886,3529,3419,4153,0,0,0
89.50640@13.693,40744,51356,45963,40480,45742,51922,57108,38393,51252,103147,160461,47401
90.05430@0.573,21980,23650,24871,9346,16598,15876,14359,16931,21506,0,0,0
94.04470@13.653,214311,190739,200427,199334,210372,206420,206893,196895,222869,214919,181443,201657
97.02780@0.886,46469,16389,50605,33980,27636,37868,62760,66428,87760,108,506,121
97.02790@0.684,56108,61001,60960,61359,78182,73187,70005,61377,73186,299,118,121
97.99070@13.669,10340,10531,8101,8919,8451,8040,10391,12454,9859,10959,11986,8914
99.04340@0.680,23745,25553,24817,26004,34936,29530,31012,27310,35912,198,425,267
100.07470@0.594,2334,5913,6669,3195,2294,5258,2856,4937,2765,0,0,0
101.02270@0.989,15503,15757,18094,19643,19677,21052,19577,18856,21003,0,0,0
102.03340@7.342,111323,112843,111446,109378,105805,106333,110141,119057,115102,137371,162108,68215
102.03360@13.667,462351,557567,506432,513116,463808,544644,515368,583536,602505,585866,508547,417453
102.12710@1.947,25900,24396,57857,22180,32943,37109,73768,35116,44416,59373,0,0
104.02980@13.666,10444,12855,11709,11837,12850,11243,12577,13240,10388,9804,8727,11871
104.10650@1.009,71396,140076,188113,168952,196688,188625,182142,68897,223843,1501,5589,1332
104.10680@0.611,799071,840386,872272,801680,931495,899296,878222,830036,939644,7035,6024,4186
105.00290@0.456,99250,114748,118186,97912,108157,104564,109240,108752,125723,47673,14096,7712
106.04930@0.580,7419,6844,7309,3079,6316,3582,6428,5281,6995,273,0,0
108.08030@2.272,286754,297971,317509,293729,299542,320636,311366,301185,330601,235367,102,0
109.02200@13.697,13692,13771,8958,9119,10337,11539,16537,8498,11511,24085,32031,12078
109.02800@0.676,26719,31851,30182,14769,32665,31471,32301,29390,34005,132,123,0
110.00820@0.455,34728,44162,49568,35563,42664,41488,39546,37759,49117,17743,4435,1624
110.01980@13.697,232409,268688,320585,316053,282993,326327,344467,303470,237912,494525,659582,282523
110.01980@11.546,6329,7025,7698,10646,7899,8541,14356,5013,13486,382607,440329,6252
110.01980@12.275,16765,13794,10469,9582,12419,8768,19769,8975,15340,303968,432977,6925
111.01960@11.304,49599,40692,52404,27214,45118,74848,60476,59881,52380,52615,34829,33885
111.01990@13.617,85345,64526,120577,130963,107764,105766,68604,97284,175386,281992,225400,98229
111.01990@12.349,95603,85894,119544,140803,88606,64973,124766,109846,97474,210513,161007,56257
112.00570@0.453,4955,6476,6792,5369,6287,5518,5068,5725,7822,1326,360,125
112.04960@0.685,5620,6305,6772,11261,13165,9603,11246,4493,7045,0,0,0
112.97780@13.665,3345,3795,3821,3659,3385,3781,4454,4268,4153,4891,5113,3759
113.03400@1.335,195951,210456,210429,249146,260593,257957,244401,239753,247653,0,0,0
113.96310@13.698,12068,8546,10946,9038,7078,10148,11108,8680,10730,20679,37372,10338
116.03350@0.581,8634,11015,7794,3032,7644,4801,9998,4006,9682,0,0,0
116.05220@9.435,17820,21344,22887,20264,22419,18314,21127,20959,21487,20594,27255,14606
116.05240@10.409,14627,17379,15219,16607,15978,21724,16742,17548,15512,25044,16544,12687
116.05250@8.104,5895,8211,7966,7182,6662,7041,7978,7952,8952,15061,29532,14732
116.07020@0.622,74935,81094,86998,65211,76618,78579,79591,73854,86222,894,2346,358
116.98550@0.643,530,927,1085,889,1001,1097,924,488,1187,15607,22378,10493
117.05410@0.690,15530,19978,15608,22118,21008,20988,18708,19377,22834,688,1563,381
118.08570@0.638,343765,375812,396925,322797,359772,366860,369458,352536,408303,13967,6943,2287
119.03360@0.977,8144,5907,8093,5689,6711,5396,10310,9856,7249,0,97,0
119.08510@7.378,8391,9338,9192,14064,13985,15360,11285,11378,10711,13932,233,0
120.06490@0.579,12285,17542,18228,5122,7348,15467,8879,15703,21189,0,0,0
120.08040@1.200,99204,105060,106204,124087,129942,126099,122200,120484,125839,0,0,0
122.09630@2.517,3717,3685,4175,6337,6245,5443,4936,4111,3976,9221,121,0
123.05470@0.642,6107,15318,7625,13014,36183,33695,21566,10976,25884,0,88,0
123.05490@1.512,172337,191861,191486,262557,285193,264806,238924,246286,238767,97,0,0
124.03890@1.238,33747,35241,35396,52292,55052,55521,48500,44558,47738,475,1476,93
124.04100@13.647,3062,4239,2906,3075,2881,3026,2914,3223,2884,3559,3330,2342
125.03700@13.655,2086,2951,2369,1963,2270,2181,2328,2712,1846,2256,2299,2236
127.03830@1.041,64857,210194,130811,80644,87366,238369,197285,158064,158833,4183,5587,3483
127.03850@0.682,143122,163226,158931,162497,189263,189400,178321,156166,189342,4967,7856,3191
127.03860@0.856,120227,116406,119991,151743,128821,158779,132213,179011,164434,2323,10640,2560
127.04960@2.771,3289,3849,1896,4658,3443,4430,3103,3967,3369,105,127,0
128.01890@0.454,81106,94405,102828,78596,89986,90695,87451,86857,102591,35470,7694,3286
129.01750@0.695,4275,5283,5909,5694,7673,6975,5072,5220,4659,578,191,307
129.05380@5.207,2471,2315,2822,2945,3225,2692,3260,2938,3173,2406,0,0
129.05420@0.675,9681,10461,10701,12093,14313,14064,11521,11605,13389,538,1278,299
129.10150@4.107,1442,1511,1240,8316,8658,8732,5260,5364,4782,0,0,0
130.04910@1.003,67244,69501,71885,55701,60506,60579,70157,63859,69688,5551,88,0
130.04940@0.581,69331,75909,81222,46951,64015,63673,68163,64575,79613,300,165,0
130.08580@0.662,554467,584243,589005,381373,399533,394724,530745,505679,534133,1827,392,129
130.15840@13.619,40593,40875,45288,49730,43201,48756,52490,44026,46122,57975,68076,40537
130.15840@11.304,46204,25922,23401,29034,38801,23288,18055,16660,38358,25266,17190,22830
130.15850@2.924,27230,29155,30162,35779,36679,37010,32655,31307,33114,43987,30466,5315
130.96480@0.454,11995,12287,12653,9964,10464,9413,14003,9706,12329,85489,36500,9880
130.96570@13.781,121447,24458,117867,56159,87249,102157,53506,174845,101464,90974,82524,118501
131.12870@0.480,42064,48223,53396,45638,52084,51809,45908,46602,56487,0,0,0
131.12870@0.557,29597,37333,41186,33137,41693,42339,31162,36957,39763,0,0,0
132.10140@1.022,287996,229611,226112,228585,149598,185791,288003,71800,271962,118,130,0
132.10150@0.741,1262797,1314462,1305705,1169756,1197090,1213259,1308318,1258413,1282328,8582,320,95
132.13330@0.785,13354,16935,15840,12686,14574,27849,9853,10671,9906,0,0,0
132.16030@0.747,3243,3470,2530,8579,14078,13877,4937,2173,11010,0,0,0
132.99760@0.454,38927,45151,44968,37573,41011,37231,43386,42164,44554,18490,7542,3249
133.06040@0.585,553610,613702,655874,184349,633348,623158,609125,593327,675232,12073,296,112
133.06040@1.026,217471,94121,266387,197080,171851,236357,273801,102628,260877,0,0,0
133.10110@9.041,3657,4125,3510,4267,4527,4067,3481,3509,3716,5991,1121,399
134.99550@0.453,5869,6511,6681,6048,6313,5815,7362,6621,7029,3026,230,153
134.99630@0.645,5869,6511,6681,6048,6313,5815,7362,6621,7029,15457,17194,9552
135.07970@7.379,2820,2749,2547,4712,4514,4261,3692,3471,2925,4216,0,0
136.06100@3.318,4034,4140,4510,4635,4692,3893,5150,4892,4641,0,0,0
136.06110@2.484,46827,50308,51209,56348,55863,58341,58587,54988,61632,535,102,0
136.06120@1.488,60849,64332,62998,62974,68584,62033,69413,70176,64449,373,114,0
136.06120@2.682,15493,15744,17401,15085,14873,15620,17581,17558,18588,18578,79,0
136.07520@0.984,13132,14981,14232,10621,11681,11780,14064,13398,13371,0,0,0
137.04530@2.383,2173,2700,2709,4442,4777,4809,3582,3600,4170,0,0,0
137.05930@3.889,3345,3562,3771,4693,4566,5198,4277,3890,4456,0,0,0
138.02670@13.654,13177,14109,12093,12394,12123,12729,14069,17551,13572,14828,13872,12406
138.05440@1.243,395054,496124,524535,423540,483870,171773,83463,173443,78388,960,1165,1906
138.05450@3.533,12430,11906,12483,22741,21977,21905,18693,18702,16422,0,125,101
138.05490@0.895,2576395,2694187,2721592,2750612,2750607,2723570,3273427,2658011,3416219,11633,3295,1552
138.14210@0.901,22185,25009,23412,22826,28533,27356,26313,24296,30269,0,0,0
138.99080@0.460,5310,4875,3593,3799,2208,2305,5007,5136,3139,23509,1544,1387
139.01720@13.669,22231,25649,20868,24827,22093,22532,20204,21112,22319,20392,25142,19794
139.03830@0.829,6179,13711,15814,19560,19409,22034,16348,17334,20344,344,164,0
